Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,137,-87.3,0,top
C2,10uF,C_0603_1608Metric,140.1,-85.1,-90,top
C3,0.1uF,C_0402_1005Metric,141.1,-85.1,-90,top
C4,0.1uF,C_0402_1005Metric,136,-85.1,-90,top
C5,15pF,C_0201_0603Metric,138.87,-87.37,90,top
C6,15pF,C_0201_0603Metric,143.77,-88.33,-90,top
C7,1uF,C_0402_1005Metric,138.81,-102.32,90,top
C8,1uF,C_0402_1005Metric,136.09,-102.32,-90,top
C12,0.1uF,C_0201_0603Metric,139.7,-99.57,-90,top
C14,0.1uF,C_0201_0603Metric,140.4,-99.57,-90,top
C15,0.1uF,C_0201_0603Metric,136.87,-89.38,180,top
C16,1uF,C_0402_1005Metric,137.49,-99.58,-90,top
C17,0.1uF,C_0201_0603Metric,136.33,-99.02,180,top
C18,1uF,C_0402_1005Metric,137.05,-100.95,0,top
C19,0.1uF,C_0201_0603Metric,136.33,-99.72,180,top
C20,0.1uF,C_0201_0603Metric,137.92,-89.23,90,top
C21,0.1uF,C_0201_0603Metric,143.77,-89.73,90,top
C22,0.1uF,C_0201_0603Metric,144.03,-99.37,-90,top
C23,0.1uF,C_0201_0603Metric,136.58,-90.08,0,top
C24,0.1uF,C_0201_0603Metric,144.03,-102.17,90,top
IC1,MAX98360AEFB+T,MAX98360AEFB,137.8,-85.1,-90,top
IC2,MAX98360AEFB+T,MAX98360AEFB,142.9,-85.1,-90,top
IC3,W25Q16JVUXIQ_TR,SON50P300X200X60-9N,142.38,-100.77,-90,top
J6,USB_C_Receptacle,USB_C_Plug_Straddle,139.99515,-106.04,180,top
R1,1k,R_0402_1005Metric,138.75,-89,-90,top
R2,27R,R_0201_0603Metric,138.3,-99.37,90,top
R3,27R,R_0201_0603Metric,139,-99.37,90,top
R4,1k,R_0201_0603Metric,144.03,-100.77,90,top
R5,5.1k,R_0201_0603Metric,138.3,-100.8,-90,top
R6,5.1k,R_0201_0603Metric,140.4,-101,90,top
R7,5.1k,R_0201_0603Metric,136.58,-88.37,0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,140,-94.55,180,top
U2,MIC5317-3.3xM5,UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm,137.45,-102.16,0,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,141.32,-88.23,180,top
